by10years,Province,nb_entreprises
1990,Anvers,661
1990,Brabant flamand,321
1990,Brabant wallon,102
1990,Bruxelles-Capitale,482
1990,Flandre-Occidentale,493
1990,Flandre-Orientale,454
1990,Hainaut,249
1990,Limbourg,241
1990,Liège,298
1990,Luxembourg,144
1990,Namur,159
2000,Anvers,1087
2000,Brabant flamand,578
2000,Brabant wallon,238
2000,Bruxelles-Capitale,976
2000,Flandre-Occidentale,847
2000,Flandre-Orientale,827
2000,Hainaut,460
2000,Limbourg,541
2000,Liège,527
2000,Luxembourg,181
2000,Namur,260
2010,Anvers,2621
2010,Brabant flamand,1218
2010,Brabant wallon,496
2010,Bruxelles-Capitale,2495
2010,Flandre-Occidentale,1757
2010,Flandre-Orientale,1751
2010,Hainaut,1111
2010,Limbourg,1027
2010,Liège,1131
2010,Luxembourg,283
2010,Namur,536
2020,Anvers,2769
2020,Brabant flamand,1759
2020,Brabant wallon,427
2020,Bruxelles-Capitale,2252
2020,Flandre-Occidentale,1924
2020,Flandre-Orientale,1823
2020,Hainaut,1167
2020,Limbourg,1097
2020,Liège,1270
2020,Luxembourg,326
2020,Namur,522
